epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3226,1.25993,2.68276,1.28338,0.00515,0.73913,0.09856,0.06926,0.83848,2.99179,1.0243,4e-05,4e-05,4e-05
2,84.4247,1.1675,2.72126,1.1737,0.00636,0.91304,0.54917,0.413,0.76467,2.98243,1.00279,9.7525e-05,9.7525e-05,9.7525e-05
3,132.326,0.98376,2.48687,1.11762,0.00667,0.95652,0.69537,0.5204,0.835,2.99385,1.04072,0.00015208,0.00015208,0.00015208
4,174.879,0.99528,2.27553,1.15446,0.00697,1,0.78028,0.57887,0.80716,2.9402,0.99627,0.000203665,0.000203665,0.000203665
5,221.045,0.85998,1.93112,1.07553,0.00697,1,0.71029,0.5035,0.86834,2.96297,1.03954,0.00025228,0.00025228,0.00025228
6,265.645,1.20486,1.90942,1.21053,0.00697,1,0.70077,0.49969,0.92515,2.91216,1.08123,0.000297925,0.000297925,0.000297925
7,305.793,0.96984,1.6315,1.13,0.00697,1,0.78289,0.55807,0.95225,2.80027,1.1195,0.0003406,0.0003406,0.0003406
8,346.194,1.08283,1.59575,1.13416,0.00697,1,0.77863,0.52962,0.95897,2.77647,1.15305,0.000380305,0.000380305,0.000380305
9,396.034,0.89019,1.39142,1.07562,0.83247,0.52174,0.72643,0.48816,0.95471,2.73073,1.14907,0.00041704,0.00041704,0.00041704
10,441.9,1.14203,1.37613,1.16663,0.91142,0.44816,0.72637,0.49635,0.98876,2.7687,1.13655,0.000450805,0.000450805,0.000450805
11,485.168,1.07562,1.20784,1.10522,0.96828,0.52174,0.67307,0.49477,0.95306,2.76785,1.14382,0.0004816,0.0004816,0.0004816
12,529.984,0.96046,1.21875,1.16454,1,0.25964,0.60948,0.46067,0.934,2.78135,1.17954,0.000509425,0.000509425,0.000509425
13,585.46,1.04409,1.25295,1.17988,0.88723,0.34263,0.54444,0.41294,1.04636,2.83852,1.24492,0.00053428,0.00053428,0.00053428
14,632.093,1.05791,1.14002,1.21316,0.68234,0.28131,0.47434,0.346,1.0705,2.83486,1.24885,0.000556165,0.000556165,0.000556165
15,668.36,0.87551,1.10576,1.14096,0.78711,0.26087,0.5148,0.33011,1.11869,2.89398,1.28702,0.00057508,0.00057508,0.00057508
16,713.062,1.0305,1.13499,1.2097,0.86558,0.26087,0.55752,0.327,1.12579,2.94044,1.28784,0.000591025,0.000591025,0.000591025
17,754.655,0.78173,1.08684,1.10101,0.90054,0.39388,0.61629,0.42456,1.16427,2.72349,1.28177,0.000604,0.000604,0.000604
18,795.65,0.93236,1.06624,1.13378,0.84881,0.52174,0.61825,0.42088,1.18023,2.64778,1.3223,0.000614005,0.000614005,0.000614005
19,838.261,1.00151,1.03825,1.14867,0.69674,0.47826,0.56609,0.38689,1.19741,2.59754,1.32762,0.00062104,0.00062104,0.00062104
20,876.486,1.02375,1.07272,1.1404,0.71932,0.52174,0.61999,0.35387,1.2258,2.51738,1.33916,0.000625105,0.000625105,0.000625105
21,915.603,1.02796,0.93777,1.13358,0.74367,0.63125,0.67161,0.37795,1.23965,2.44898,1.37578,0.0006262,0.0006262,0.0006262
22,956.417,0.99809,1.06474,1.14961,0.73293,0.56522,0.70296,0.38966,1.28647,2.45529,1.40857,0.000624325,0.000624325,0.000624325
23,1001.25,1.05864,1.04162,1.10592,0.76803,0.57626,0.73016,0.45702,1.28598,2.47991,1.43401,0.00061948,0.00061948,0.00061948
24,1045.27,0.95389,0.948,1.11992,0.83964,0.45618,0.74558,0.47499,1.21045,2.4991,1.39588,0.000611665,0.000611665,0.000611665
25,1097.38,1.0012,0.96356,1.11293,0.93212,0.6087,0.77747,0.49734,1.20862,2.5045,1.39219,0.00060088,0.00060088,0.00060088
26,1140.52,0.93981,0.97498,1.13783,0.86985,0.5818,0.73872,0.49125,1.25503,2.51037,1.38978,0.000587125,0.000587125,0.000587125
27,1177.27,0.98505,0.95322,1.13387,0.839,0.45401,0.70472,0.4561,1.32468,2.50687,1.40923,0.0005704,0.0005704,0.0005704
28,1221.38,0.78046,0.91171,1.03243,0.74337,0.52174,0.63965,0.41175,1.31384,2.46895,1.46879,0.000550705,0.000550705,0.000550705
29,1257.23,0.8291,0.84899,1.04002,0.74337,0.52174,0.63965,0.41175,1.31384,2.46895,1.46879,0.00052804,0.00052804,0.00052804
30,1292.86,0.83352,0.86971,1.03936,0.80803,0.54967,0.65037,0.41446,1.34332,2.43611,1.47961,0.000502405,0.000502405,0.000502405
31,1326.86,0.85938,1.40043,1.04284,0.87004,0.52174,0.72232,0.46702,1.2669,2.28309,1.39422,0.0004738,0.0004738,0.0004738
32,1362.38,0.92137,1.31229,1.06815,0.69318,0.68787,0.74328,0.52554,1.25283,2.20026,1.41441,0.000442225,0.000442225,0.000442225
33,1406.8,0.81957,1.14276,1.00247,0.69318,0.68787,0.74328,0.52554,1.25283,2.20026,1.41441,0.00040768,0.00040768,0.00040768
34,1443.78,0.75803,1.0611,0.98437,0.83,0.73913,0.79124,0.55773,1.2404,2.1622,1.39197,0.0003665,0.0003665,0.0003665
35,1478.24,0.77595,1.11902,1.00949,0.83867,0.67861,0.81081,0.60585,1.13826,2.11109,1.31431,0.000317,0.000317,0.000317
36,1527.08,0.78529,1.06284,0.96363,0.89725,0.75988,0.82436,0.62169,1.11649,2.07218,1.27912,0.0002675,0.0002675,0.0002675
37,1566.79,0.73029,1.08783,0.92934,0.89725,0.75988,0.82436,0.62169,1.11649,2.07218,1.27912,0.000218,0.000218,0.000218
38,1607.67,0.75882,1.02421,0.96551,0.83949,0.78261,0.82197,0.63975,1.12187,1.99816,1.27297,0.0001685,0.0001685,0.0001685
39,1642.32,0.72955,1.07003,1.01446,0.86274,0.82011,0.83028,0.62969,1.0895,1.91589,1.27389,0.000119,0.000119,0.000119
40,1681.69,0.69195,0.97809,0.97621,0.89948,0.77832,0.80785,0.62681,1.04631,1.8449,1.23155,6.95e-05,6.95e-05,6.95e-05
